,Tweet,Class
0,dun Turkcelle tepkilerimizden sonra bugün Turkcell twittera sponsor olmuş. Ne tesadüf değil mi ? :),positive
1,girmezmiyim.. Turkcell kartim bile var.. Yarindan itibaren onu takicam.. Twittersiz denedim sadece 3 gun yapabildim:))))),positive
2,tam tünelden gecerken 3g cekiyordu:D türkcell'in reklamlari vodafone' harekete gecirmis olmali:),positive
3,turkcell superonline fiber internet veya ADSL ve sabit telefon hizmetleri,positive
4,bence Gnçtrkcll Ark Winterfest 2012'de 1.olur da gelir :),positive
5,turkcell sana kıyak geçiyor :D,positive
6,Turkcelle bağlan hayata diyorum ;))),positive
7,"Kimse takmıyo beni yaaaaa, turkcell bana mesaj aaat :D",positive
8,Bu Turkcell pusula uygulaması iPhone kullanıcıları için büyük nimet. Oturduğum yerden nöbetçi eczane kaç metre ötemde bana söylüyor.,positive
9,o zaman sorun yok bende turkcell için iyi bir tarife arıyorum ama ne yapsam karar veremedim fikir versene:),positive
10,Samsung ve Turkcellden Kaçırılmayacak Kampanya: Samsung ; her an bağlantıda kalmanızı sağlayan qwerty klavyeli ...,positive
11,İnovasyon ödülü 'Turkcell'in !,positive
12,Pazar gunlerı sanslı gunummuss turkcellılerle bedava konuscakmısımm sagol varol turkcell  kahrol avea,positive
13,Büyük ödül Turkcell Teknoloji'ye,positive
14,"Hadi Yine süpersiniz, iyi sıyırdınız. Iphone 4s olayından",positive
15,superonline fiber internet hizmeti adresinizde varsa tavsiye ederim cok hizli hesapli kesilmiyor ve kimse aramiyor bu arada ++,positive
16,kesinlikle Süperonline.Hatta tivibuyu da öneririm.gayet güzel imkanları var;),positive
17,hayat paylaşınca güzel la la laaa laa laaa la laaa ((:,positive
18,özturkcell seninle ölmeye geldik özturkceeeeeellllll :))) ( hasan doğan spor kompleksi),positive
19,"eyvallah, hayat paylaşınca güzel :))",positive
20,"Bi Turkcell , bi de Coca-Cola reklamları beni derinden etkliyo lan",positive
21,teşekkür ederim selocan:)),positive
22,"bu akşam turkcell belejj film gecesi,yani gnç turkcell şifresi paylaşım gecesi, katkılarınızı bekliorum, sanata ve sinemaya katkı babında :)",positive
23,"evet turkcell ile denedim bir sıkıntı çıkmadı , jb siz avea için herhangi bir çözüm varmı ? #avea #aveadestek",positive
24,"maNga konseri, bugün saat 15:00'te canlı yayınla  adresinde! Hayat müziği paylaşınca güzel :)",positive
25,"ÇAKMA İPHONE4'ÜM VAR TURKCELL 1GB TEL İNTERNETİM VAR SABAH AKŞAM BURADAYIM SÜPER NE LİMİT NE KESİNTİ ""SAĞOL ÇİN+TURKCELL""  EMEKLİĞE KIYAK!!",positive
26,:) :) yanlızken kim mutlu olmuşki seen olasın ? Kendini kandırma ! Bak sertb abla ne diyo ? Hayat paylaşınca güzel !,positive
27,turkcell superonline,positive
28,turkcell haydi gel paketi.. enfes..,positive
29,Photo: Dünyaya liderlik eden operatörlerden biri Türk Turkcell Superonline fiber internette dünya lideri...,positive
30,turkcell 3 tl hediye etse bana ne güzel olur =),positive
31,turkcell yedekleme yi kullanmak daha pratik olabilir,positive
32,fiyat basl peki cokmu azmi. Alablrzz uygunsaa,positive
33,"Bugün Turkcell tarafından çekilişe katıldığım için tebrik aldım. O zaman anladım ki benim için küçük insanlık, için büyük bir adım atmışım.",positive
34,ufunett bastıı yine..keşkee turkcell olsann..Tarifeni değiştirsene sen yaa..=),positive
35,onu geçen hafta bende yapıyordu bu superonline. Şu an rahat girebiliyorum ama O_o,positive
36,Bu arada farkettim de hepsi Turkcell Kullanıyor:),positive
37,hahaha turkcell beni seviyo :),positive
38,Dun gecedn beri turkcell mustri hzmetlerndeki kadinla ask yasiyrz sonunda oldu oh be:)),positive
39,#Mutluyum #Mutlusun #Mutluyuz ... Hayat paylaşınca güzel lalalalaaaa :),positive
40,#2012hayallerimin ilk sırasında aylardır söyleyip durduğum gibi numaramı Turkcell'e taşımak var. Hayal olarak kalmasın ama. Nioğğlur.,positive
41,Turkcell'in 3G hızı ABD'de deki 4G'den daha hızlı :),positive
42,Bu turkcell müzik muhabbetini sevdim :),positive
43,Mahalleden SuperOnline geçse iyiymiş.,positive
44,özturkcell e geciş yap ;) :))),positive
45,"Bu Turkcell cok iyi lan.Durduk yere mesaj atıyor, kampanyalarıyla mutlu ediyor falan.Sevgilim gorup kıskanır umarım.",positive
46,Hayatın beleşçilik git Turkcell'den al.,positive
47,turkcell 4 çekiyo yavruş :O,positive
48,selam yeniden haxball. canını yiyeyim turkcell superonline.,positive
49,"Ben subtta iphne alcm ""trkcel"" :)",positive
50,Turkcell Gold/Platinum kullanıcısı isen %50 indirim hakkı.. Mart'a kadar 3 kez kullanma hakkın var ;),positive
51,Sayın Süreyya Ciliv'e Türkiye'ye Değer Katanlar Ödülü takdim ediliyor.,positive
52,teşekkürler Turkcell,positive
53,heryone degilim ki sadece turkcell o yuzden,positive
54,en iyisi ben yarın turkcell e gidiyim =),positive
55,Turkcell'deyim şimdi. Karşılaşırız bi'yerlerde ;),positive
56,Teşekkür ederim. Turkcell üzerinden internete bağlanırken sorun yaşadm da anlam veremedim.. Ama geçti.. Teşekkürlerr..,positive
57,#osesturkiye de turkcell sponsorlugunun dibine vurulmus .. Gormeyen kalmadi o sunucudan buyuk gnctrkcll yazisini,positive
58,Hayat paylaşınca güzel...la la la...,positive
59,yeni yıl reklamı bir harika !!,positive
60,Bos  1 numara !,positive
61,#3kelimeyle2011 Gelecek Güzel Gelecek,positive
62,sadece quiknet mi var wınnımda var 64 k lik micro sim imde var i pad turkcell 4 çeker:),positive
63,"Yarin kendime turksel hat sey aldircaem, onu veririm sana",positive
64,Reklamı bana   reklamlarını çağrıştırdı. Bu çağrışımı yaratan Turkcellse başarılı olan da haliyle o! Değil mi?,positive
65,hahaha asil sen koruosn :) yok ben reklama taktim insana avea'yi degil direk turkcell'i dusunduruyo,positive
66,Yarında Perşembeeee..oohhhhh çok şükür.. [gnctrkcll],positive
67,"is uretemedikleri ortada.. "" Avea'yla Vodafone her yerde çekiyor mu bilemem ama ikisinin de Turkcell'i hala çekemediği net.""",positive
68,"iyiki varsınız    siz olmasanız mesaj da geleceği yok,telefon özelliğini unutacak nerdeyse. O kadar ki yalnızım:)",positive
69,iyi ki iPad 2'yi turkcell'den almışım. cam gibi lig tv her yerde :) teşekkürler,positive
70,hayat paylaşınca güzel lalalalalalalalalal :D,positive
71,kesinlikle superonline,positive
72,eğer oturduğunuz bolgede varsa superonline fiber net geçmelisiniz.,positive
73,turkcell bana komısyon baglamalı bence artık kacıncı musterısını kazandırdım :DD,positive
74,Bu yila kadarki en iyi yilbasi reklam sarkisi turkcell'in 'bu sene yeni bir cebin olsun calain arayan hep o olsun...' ile baslayandir!,positive
75,"Coco Cola,Turkcell,Vestel reklamda onculer ...",positive
76,#turkcellmuzik Bengü Hiç bitmesinn bu   seni çok seviyorummm türkcell çok teşkkürler bize böyle bir anı yaşattıgın için,positive
77,Kendimi turkcell in yeni yıl şarkısını söylemekten alikoyamiyorum.,positive
78,Oha turksel bana çalışıyo resmen 487 dakika bedava vermiş :O,positive
79,"#vodafone icin Buyuk eksiklik. Apple urunlerinde kullanilmak uzere #turkcell online islem gibi bir app yapmadilar, yapamadilar.",positive
80,"sayın   sağ olsun beni aradığınızı belirtti ama mesajla. İyi seneler diler sağlık,mutluluk ve bol kazançlı bir yıl dilerim.",positive
81,Bahçeşehir Üniversitesi'nden Süreyya Ciliv'e özel ödül,positive
82,"2012'ye kadar sms hakkinizi kullanabilirsin diyen sevgili turkcell ""allah razii olsun, sen olmasan napardim"" demek istedim.",positive
83,"turkcell veya avea varsa alabilirim -,-",positive
84,""" Bahçeşehir Univ Tesekkurler.. Türkiye ye Deger Katanlar Ödülü Turkcell CEO Sureyya Ciliv'e..""",positive
85,İzmir Arena inanilmazdin..Tum Turkcell ekibine sonsuz tesekkurler:),positive
86,başka ne olacaktı sanki :) ben turkcell'in yerinde olsam seni dakikası 5-10 liraya konuştururum bu saatten sonra :),positive
87,Murat Erkan: ''Turkcell Superonline olarak misyonumuz operatörlerin operatörü olmak.'',positive
88,Kamil koç un Turkcell kornası güzel olmuş :),positive
89,yeni yıl kutlama msg'ını aldım. Teşekkürler.. Hayat paylaşınca güzel lala la la laaa,positive
90,bugün perşembe turkcell sinema günleri ....,positive
91,Bu akşam sinemada Sherlock'ta kullanmak için bi gnctrkcll şifresi lazım gençler. Bi el atıverin hadi.,positive
92,askim nasil yollicaksin banaaa ? :D ben kendime yeni hat alirim turkcell daha iyi daha kolay,positive
93,sagolasin el öpenlerin cok olsun mesaj hakkın Turkcell den Beles gelsin :D,positive
94,"onu beğendik de bide ,twitter paketi bekliyoruz Turkcell den...sınırsız twit",positive
95,iki hafta gene iyi benimki bir iki ayda gelmişti.turkcell sağolsun:D,positive
96,off ali ya sbh sbh ne güldürdün :D art ık facebooktanda Turkcell ile ilişkisi war yaparsın sen :D,positive
97,"""çekemeyen anten taksın"" diye sticker dağıtmış, ben de yaptırcam özel olarak :)",positive
98,opuldun bebegim ;) Tebrikler! Size ozel 1 ay boyunca yurtici heryone 100 dakika ve 300 SMS kazandiniz. Gule gule kullanin!,positive
99,Divane Asik Gibi Blog Turkcell Blog odullerinde son 10`a kalmis. Destek veren herkese tesekkurler...,positive
100,Aynen Kanka Turkcell Iyı Ya,positive
101,Sen vodafone gibi ani yasarken ben turkcell gibi her yerde seni cekemem.,positive
102,"Tüm müzik ihtiyaçlarınızın (Dinleme, indirme, keşfetme vb.) Turkcell kalitesiyle tek bir uygulamada toplanmış olması fena mı? :)",positive
103,Özturkcell reklamı fena komedi,positive
104,tweetlerini sabahtan beri toplayamadığım odamdan takip ediyorum ve diyorum ki hayat 140 karakteri paylaşınca güzel.,positive
105,#pazarlamakonferansi turkcell akademinin duzenledigi konferansin baslamasini bekliyoruz,positive
106,Ben zaten turkcell için baktım. turkcell'den vazgeçmem her türlü kaliteli bir ara vodafone kullandım ikinci hat yok asla..,positive
107,ev telefonunuzu superonline'a devredin..,positive
108,"Bu Turkcell çok iyi lan.Durduk yere mesaj atıyor, kampanyalarıyla mutlu ediyor falan.Sevgilim görüp kıskanır umarım.",positive
109,Kendisi de bunu açıklamıştı Turkcell Teknoloji Zirvesinde.. Bizde terlikle bile işe gelirler demişti. Önemli olan mutluluğu.,positive
110,kafama takilan bir konu gsm operatorlerinin mobil site destegi ve uygulamalarinin olmamasi. turkcell istisna tabi,positive
111,hayat paylaşınca güzel :),positive
112,dogum gunu pastasi icin tesekkurler. Simartiyosun beni :),positive
113,KAMİL KOÇ'TAN ÖZEL TURKCELL KAMPANYASI,positive
114,Sabah sabah kendimi koridorda''TURKCELL BENI SESIMDEN TANIR'' diye bagirken buldum.Bir internet paketi icin insan neler yapiyo,positive
115,*HAYAT PAYLAŞINCA GÜZEL!!!,positive
116,Sabah 7.30dan itibaren tekrar Turkcell'm bilginizee :),positive
117,turkcell e gel,positive
118,"Nihayet eve fiber internet geldi. Superonline, Karamehmet'in yıllar önce döşediği fiber ağı engellemeler yüzünden anca devreye sokabildi.",positive
119,Bu Turkcell ile  aramız her ne kadar iyi olmasa da böyle hediyeler verdikce gözüme giriyorlar :D,positive
120,hayat paylaşınca güzel :)),positive
121,Bir kez daha cüzdanı evde unuttum ama Turkcell mobil imza sayesinde Garanti'den para çekip gunumu sorunsuz götürüyorum :),positive
122,zekice ;),positive
123,"""1 yeni film vizyone girerken, gnctrkcll şifresi arayan 3 milyon kişi var."" ahaha",positive
124,hayat paylaşınca güzel:),positive
125,faturalı hatlarda daha esnek avantajların olmasını diler başarılarınızın devamını dilerim hoşçakalın..,positive
